ID,TARGET
150000,0.16
150001,0.33
150002,0.2
150003,0.04
150004,0.05
150005,0.06
150006,0.2
150007,0.21
150008,0.11
150009,0.1
150010,0.13
150011,0.3
150012,0.18
150013,0.12
150014,0.12
150015,0.06
150016,0.1
150017,0.28
150018,0.07
150019,0.11
150020,0.26
150021,0.06
150022,0.05
150023,0.39
150024,0.03
150025,0.05
150026,0.03
150027,0.26
150028,0.12
150029,0.12
150030,0.49
150031,0.08
150032,0.06
150033,0.02
150034,0.07
150035,0.26
150036,0.16
150037,0.11
150038,0.24
150039,0.11
150040,0.09
150041,0.65
150042,0.17
150043,0.09
150044,0.11
150045,0.32
150046,0.06
150047,0.05
150048,0.08
150049,0.56
150050,0.02
150051,0.1
150052,0.01
150053,0.24
150054,0.15
150055,0.07
150056,0.06
150057,0.18
150058,0.21
150059,0.21
150060,0.22
150061,0.18
150062,0.21
150063,0.11
150064,0.32
150065,0.04
150066,0.06
150067,0.33
150068,0.1
150069,0.31
150070,0.11
150071,0.06
150072,0.06
150073,0.07
150074,0.22
150075,0.19
150076,0.04
150077,0.14
150078,0.15
150079,0.19
150080,0.07
150081,0.29
150082,0.09
150083,0.45
150084,0.3
150085,0.23
150086,0.12
150087,0.34
150088,0.16
150089,0.04
150090,0.28
150091,0.1
150092,0.18
150093,0.2
150094,0.45
150095,0.04
150096,0.11
150097,0.1
150098,0.05
150099,0.03
150100,0.33
150101,0.44
150102,0.19
150103,0.19
150104,0.32
150105,0.54
150106,0.23
150107,0.17
150108,0.46
150109,0.33
150110,0.22
150111,0.1
150112,0.14
150113,0.14
150114,0.16
150115,0.09
150116,0.08
150117,0.24
150118,0.02
150119,0.46
150120,0.14
150121,0.13
150122,0.14
150123,0.07
150124,0.52
150125,0.3
150126,0.1
150127,0.13
150128,0.03
150129,0.1
150130,0.11
150131,0.16
150132,0.05
150133,0.09
150134,0.21
150135,0.09
150136,0.04
150137,0.3
150138,0.37
150139,0.03
150140,0.06
150141,0.17
150142,0.12
150143,0.04
150144,0.14
150145,0.06
150146,0.29
150147,0.35
150148,0.29
150149,0.07
150150,0.13
150151,0.34
150152,0.15
150153,0.72
150154,0.09
150155,0.0
150156,0.07
150157,0.18
150158,0.06
150159,0.36
150160,0.25
150161,0.1
150162,0.41
150163,0.42
150164,0.06
150165,0.28
150166,0.16
150167,0.2
150168,0.11
150169,0.04
150170,0.18
150171,0.23
150172,0.52
150173,0.08
150174,0.13
150175,0.21
150176,0.26
150177,0.35
150178,0.07
150179,0.39
150180,0.05
150181,0.06
150182,0.05
150183,0.1
150184,0.24
150185,0.19
150186,0.15
150187,0.05
150188,0.11
150189,0.01
150190,0.12
150191,0.08
150192,0.02
150193,0.15
150194,0.07
150195,0.15
150196,0.14
150197,0.13
150198,0.09
150199,0.2
150200,0.2
150201,0.08
150202,0.26
150203,0.12
150204,0.11
150205,0.24
150206,0.17
150207,0.07
150208,0.11
150209,0.08
150210,0.04
150211,0.09
150212,0.06
150213,0.4
150214,0.08
150215,0.14
150216,0.01
150217,0.11
150218,0.16
150219,0.12
150220,0.11
150221,0.03
150222,0.12
150223,0.11
150224,0.36
150225,0.15
150226,0.05
150227,0.02
150228,0.23
150229,0.15
150230,0.24
150231,0.17
150232,0.51
150233,0.06
150234,0.27
150235,0.55
150236,0.16
150237,0.12
150238,0.08
150239,0.1
150240,0.23
150241,0.06
150242,0.02
150243,0.02
150244,0.12
150245,0.16
150246,0.18
150247,0.12
150248,0.12
150249,0.1
150250,0.09
150251,0.25
150252,0.07
150253,0.14
150254,0.46
150255,0.07
150256,0.08
150257,0.02
150258,0.53
150259,0.02
150260,0.08
150261,0.31
150262,0.17
150263,0.13
150264,0.23
150265,0.09
150266,0.06
150267,0.18
150268,0.13
150269,0.18
150270,0.17
150271,0.26
150272,0.11
150273,0.3
150274,0.06
150275,0.04
150276,0.11
150277,0.23
150278,0.2
150279,0.15
150280,0.15
150281,0.29
150282,0.33
150283,0.16
150284,0.14
150285,0.03
150286,0.09
150287,0.21
150288,0.15
150289,0.17
150290,0.22
150291,0.67
150292,0.31
150293,0.17
150294,0.06
150295,0.24
150296,0.21
150297,0.1
150298,0.04
150299,0.13
150300,0.55
150301,0.19
150302,0.13
150303,0.13
150304,0.19
150305,0.09
150306,0.31
150307,0.04
150308,0.2
150309,0.11
150310,0.2
150311,0.25
150312,0.17
150313,0.12
150314,0.14
150315,0.24
150316,0.2
150317,0.02
150318,0.05
150319,0.11
150320,0.01
150321,0.27
150322,0.04
150323,0.07
150324,0.26
150325,0.14
150326,0.06
150327,0.07
150328,0.07
150329,0.28
150330,0.09
150331,0.09
150332,0.07
150333,0.2
150334,0.02
150335,0.1
150336,0.26
150337,0.16
150338,0.07
150339,0.15
150340,0.1
150341,0.11
150342,0.03
150343,0.06
150344,0.08
150345,0.03
150346,0.38
150347,0.04
150348,0.4
150349,0.1
150350,0.08
150351,0.04
150352,0.01
150353,0.37
150354,0.19
150355,0.21
150356,0.34
150357,0.03
150358,0.13
150359,0.3
150360,0.32
150361,0.25
150362,0.15
150363,0.07
150364,0.09
150365,0.04
150366,0.62
150367,0.21
150368,0.04
150369,0.01
150370,0.0
150371,0.17
150372,0.09
150373,0.12
150374,0.42
150375,0.29
150376,0.35
150377,0.1
150378,0.24
150379,0.07
150380,0.37
150381,0.22
150382,0.25
150383,0.1
150384,0.09
150385,0.2
150386,0.14
150387,0.29
150388,0.16
150389,0.18
150390,0.19
150391,0.07
150392,0.15
150393,0.15
150394,0.19
150395,0.12
150396,0.28
150397,0.18
150398,0.12
150399,0.21
150400,0.06
150401,0.4
150402,0.06
150403,0.12
150404,0.18
150405,0.08
150406,0.61
150407,0.12
150408,0.35
150409,0.18
150410,0.05
150411,0.06
150412,0.16
150413,0.21
150414,0.23
150415,0.03
150416,0.19
150417,0.04
150418,0.29
150419,0.03
150420,0.47
150421,0.16
150422,0.36
150423,0.05
150424,0.57
150425,0.12
150426,0.5
150427,0.34
150428,0.62
150429,0.28
150430,0.1
150431,0.23
150432,0.07
150433,0.01
150434,0.02
150435,0.08
150436,0.21
150437,0.05
150438,0.03
150439,0.06
150440,0.09
150441,0.21
150442,0.05
150443,0.5
150444,0.05
150445,0.09
150446,0.5
150447,0.05
150448,0.32
150449,0.12
150450,0.05
150451,0.18
150452,0.12
150453,0.11
150454,0.25
150455,0.11
150456,0.03
150457,0.39
150458,0.11
150459,0.42
150460,0.03
150461,0.16
150462,0.4
150463,0.23
150464,0.26
150465,0.2
150466,0.18
150467,0.13
150468,0.09
150469,0.11
150470,0.21
150471,0.16
150472,0.28
150473,0.04
150474,0.15
150475,0.11
150476,0.08
150477,0.19
150478,0.12
150479,0.18
150480,0.24
150481,0.04
150482,0.06
150483,0.26
150484,0.12
150485,0.48
150486,0.02
150487,0.14
150488,0.17
150489,0.12
150490,0.16
150491,0.02
150492,0.12
150493,0.24
150494,0.31
150495,0.13
150496,0.37
150497,0.07
150498,0.1
150499,0.13
150500,0.03
150501,0.13
150502,0.17
150503,0.26
150504,0.15
150505,0.09
150506,0.36
150507,0.07
150508,0.03
150509,0.22
150510,0.13
150511,0.03
150512,0.07
150513,0.06
150514,0.19
150515,0.26
150516,0.16
150517,0.11
150518,0.22
150519,0.05
150520,0.35
150521,0.02
150522,0.05
150523,0.19
150524,0.02
150525,0.34
150526,0.05
150527,0.03
150528,0.38
150529,0.05
150530,0.01
150531,0.01
150532,0.02
150533,0.11
150534,0.12
150535,0.26
150536,0.09
150537,0.19
150538,0.06
150539,0.06
150540,0.12
150541,0.09
150542,0.01
150543,0.19
150544,0.05
150545,0.11
150546,0.37
150547,0.08
150548,0.35
150549,0.21
150550,0.43
150551,0.03
150552,0.04
150553,0.03
150554,0.32
150555,0.2
150556,0.02
150557,0.12
150558,0.1
150559,0.03
150560,0.12
150561,0.12
150562,0.29
150563,0.22
150564,0.11
150565,0.37
150566,0.4
150567,0.12
150568,0.16
150569,0.29
150570,0.22
150571,0.06
150572,0.05
150573,0.15
150574,0.05
150575,0.11
150576,0.36
150577,0.39
150578,0.02
150579,0.12
150580,0.26
150581,0.09
150582,0.33
150583,0.05
150584,0.12
150585,0.09
150586,0.28
150587,0.02
150588,0.04
150589,0.12
150590,0.22
150591,0.13
150592,0.09
150593,0.43
150594,0.13
150595,0.03
150596,0.23
150597,0.01
150598,0.17
150599,0.07
150600,0.04
150601,0.37
150602,0.12
150603,0.51
150604,0.37
150605,0.03
150606,0.12
150607,0.16
150608,0.1
150609,0.02
150610,0.28
150611,0.25
150612,0.34
150613,0.04
150614,0.06
150615,0.1
150616,0.55
150617,0.08
150618,0.16
150619,0.06
150620,0.15
150621,0.59
150622,0.09
150623,0.07
150624,0.54
150625,0.29
150626,0.34
150627,0.22
150628,0.08
150629,0.19
150630,0.11
150631,0.02
150632,0.2
150633,0.14
150634,0.03
150635,0.0
150636,0.09
150637,0.27
150638,0.26
150639,0.35
150640,0.35
150641,0.18
150642,0.16
150643,0.07
150644,0.07
150645,0.07
150646,0.31
150647,0.02
150648,0.07
150649,0.3
150650,0.03
150651,0.25
150652,0.03
150653,0.13
150654,0.14
150655,0.3
150656,0.07
150657,0.37
150658,0.08
150659,0.1
150660,0.09
150661,0.26
150662,0.22
150663,0.05
150664,0.13
150665,0.07
150666,0.05
150667,0.15
150668,0.3
150669,0.1
150670,0.07
150671,0.1
150672,0.14
150673,0.04
150674,0.52
150675,0.04
150676,0.1
150677,0.2
150678,0.27
150679,0.29
150680,0.1
150681,0.23
150682,0.19
150683,0.24
150684,0.36
150685,0.37
150686,0.02
150687,0.04
150688,0.11
150689,0.14
150690,0.04
150691,0.09
150692,0.06
150693,0.22
150694,0.26
150695,0.01
150696,0.06
150697,0.28
150698,0.08
150699,0.14
150700,0.06
150701,0.02
150702,0.1
150703,0.01
150704,0.15
150705,0.05
150706,0.07
150707,0.14
150708,0.43
150709,0.0
150710,0.42
150711,0.32
150712,0.23
150713,0.11
150714,0.32
150715,0.04
150716,0.13
150717,0.34
150718,0.06
150719,0.09
150720,0.05
150721,0.13
150722,0.39
150723,0.07
150724,0.22
150725,0.22
150726,0.32
150727,0.09
150728,0.23
150729,0.09
150730,0.09
150731,0.04
150732,0.2
150733,0.07
150734,0.41
150735,0.29
150736,0.62
150737,0.15
150738,0.2
150739,0.18
150740,0.41
150741,0.06
150742,0.43
150743,0.13
150744,0.08
150745,0.14
150746,0.09
150747,0.09
150748,0.23
150749,0.03
150750,0.14
150751,0.06
150752,0.03
150753,0.19
150754,0.03
150755,0.03
150756,0.29
150757,0.06
150758,0.05
150759,0.13
150760,0.14
150761,0.04
150762,0.14
150763,0.11
150764,0.31
150765,0.09
150766,0.12
150767,0.25
150768,0.02
150769,0.04
150770,0.42
150771,0.18
150772,0.13
150773,0.63
150774,0.1
150775,0.06
150776,0.18
150777,0.11
150778,0.16
150779,0.12
150780,0.34
150781,0.1
150782,0.1
150783,0.44
150784,0.04
150785,0.27
150786,0.07
150787,0.29
150788,0.22
150789,0.31
150790,0.08
150791,0.16
150792,0.03
150793,0.11
150794,0.07
150795,0.08
150796,0.32
150797,0.06
150798,0.15
150799,0.06
150800,0.06
150801,0.49
150802,0.18
150803,0.17
150804,0.05
150805,0.32
150806,0.06
150807,0.03
150808,0.11
150809,0.11
150810,0.3
150811,0.02
150812,0.38
150813,0.33
150814,0.14
150815,0.33
150816,0.09
150817,0.04
150818,0.13
150819,0.11
150820,0.47
150821,0.26
150822,0.07
150823,0.22
150824,0.18
150825,0.1
150826,0.72
150827,0.29
150828,0.11
150829,0.1
150830,0.18
150831,0.12
150832,0.16
150833,0.19
150834,0.15
150835,0.32
150836,0.1
150837,0.04
150838,0.22
150839,0.21
150840,0.24
150841,0.16
150842,0.08
150843,0.03
150844,0.05
150845,0.4
150846,0.08
150847,0.06
150848,0.02
150849,0.06
150850,0.07
150851,0.18
150852,0.04
150853,0.05
150854,0.11
150855,0.04
150856,0.18
150857,0.19
150858,0.07
150859,0.49
150860,0.3
150861,0.07
150862,0.1
150863,0.06
150864,0.24
150865,0.07
150866,0.28
150867,0.07
150868,0.33
150869,0.29
150870,0.26
150871,0.08
150872,0.18
150873,0.08
150874,0.13
150875,0.04
150876,0.2
